id,English,Hindi,Kannada,Tamil,Bengali,Assamese
1,Inform a friend before exploring crowded trains alone,[Hindi translation needed: Inform a friend before exploring crowded trains alone],[Kannada translation needed: Inform a friend before exploring crowded trains alone],[Tamil translation needed: Inform a friend before exploring crowded trains alone],[Bengali translation needed: Inform a friend before exploring crowded trains alone],[Assamese translation needed: Inform a friend before exploring crowded trains alone]
2,Avoid flashing valuables in crowded trains to prevent theft,[Hindi translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Kannada translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Tamil translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Bengali translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Assamese translation needed: Avoid flashing valuables in crowded trains to prevent theft]
3,Wear protective gear when riding bikes on busy markets,[Hindi translation needed: Wear protective gear when riding bikes on busy markets],[Kannada translation needed: Wear protective gear when riding bikes on busy markets],[Tamil translation needed: Wear protective gear when riding bikes on busy markets],[Bengali translation needed: Wear protective gear when riding bikes on busy markets],[Assamese translation needed: Wear protective gear when riding bikes on busy markets]
4,Keep emergency contacts saved before entering remote villages,[Hindi translation needed: Keep emergency contacts saved before entering remote villages],[Kannada translation needed: Keep emergency contacts saved before entering remote villages],[Tamil translation needed: Keep emergency contacts saved before entering remote villages],[Bengali translation needed: Keep emergency contacts saved before entering remote villages],[Assamese translation needed: Keep emergency contacts saved before entering remote villages]
5,Check weather alerts before traveling to busy markets,[Hindi translation needed: Check weather alerts before traveling to busy markets],[Kannada translation needed: Check weather alerts before traveling to busy markets],[Tamil translation needed: Check weather alerts before traveling to busy markets],[Bengali translation needed: Check weather alerts before traveling to busy markets],[Assamese translation needed: Check weather alerts before traveling to busy markets]
6,Use only registered guides in city streets,[Hindi translation needed: Use only registered guides in city streets],[Kannada translation needed: Use only registered guides in city streets],[Tamil translation needed: Use only registered guides in city streets],[Bengali translation needed: Use only registered guides in city streets],[Assamese translation needed: Use only registered guides in city streets]
7,Stay on marked paths while visiting city streets,[Hindi translation needed: Stay on marked paths while visiting city streets],[Kannada translation needed: Stay on marked paths while visiting city streets],[Tamil translation needed: Stay on marked paths while visiting city streets],[Bengali translation needed: Stay on marked paths while visiting city streets],[Assamese translation needed: Stay on marked paths while visiting city streets]
8,Respect wildlife and keep 13 meters away in city streets,[Hindi translation needed: Respect wildlife and keep 13 meters away in city streets],[Kannada translation needed: Respect wildlife and keep 13 meters away in city streets],[Tamil translation needed: Respect wildlife and keep 13 meters away in city streets],[Bengali translation needed: Respect wildlife and keep 13 meters away in city streets],[Assamese translation needed: Respect wildlife and keep 13 meters away in city streets]
9,Dispose of trash properly to protect mountain paths,[Hindi translation needed: Dispose of trash properly to protect mountain paths],[Kannada translation needed: Dispose of trash properly to protect mountain paths],[Tamil translation needed: Dispose of trash properly to protect mountain paths],[Bengali translation needed: Dispose of trash properly to protect mountain paths],[Assamese translation needed: Dispose of trash properly to protect mountain paths]
10,Carry at least 4 liters of water when hiking in heritage sites,[Hindi translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Kannada translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Tamil translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Bengali translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Assamese translation needed: Carry at least 4 liters of water when hiking in heritage sites]
11,Inform a friend before exploring desert trails alone,[Hindi translation needed: Inform a friend before exploring desert trails alone],[Kannada translation needed: Inform a friend before exploring desert trails alone],[Tamil translation needed: Inform a friend before exploring desert trails alone],[Bengali translation needed: Inform a friend before exploring desert trails alone],[Assamese translation needed: Inform a friend before exploring desert trails alone]
12,Avoid flashing valuables in crowded trains to prevent theft,[Hindi translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Kannada translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Tamil translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Bengali translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Assamese translation needed: Avoid flashing valuables in crowded trains to prevent theft]
13,Wear protective gear when riding bikes on desert trails,[Hindi translation needed: Wear protective gear when riding bikes on desert trails],[Kannada translation needed: Wear protective gear when riding bikes on desert trails],[Tamil translation needed: Wear protective gear when riding bikes on desert trails],[Bengali translation needed: Wear protective gear when riding bikes on desert trails],[Assamese translation needed: Wear protective gear when riding bikes on desert trails]
14,Keep emergency contacts saved before entering national parks,[Hindi translation needed: Keep emergency contacts saved before entering national parks],[Kannada translation needed: Keep emergency contacts saved before entering national parks],[Tamil translation needed: Keep emergency contacts saved before entering national parks],[Bengali translation needed: Keep emergency contacts saved before entering national parks],[Assamese translation needed: Keep emergency contacts saved before entering national parks]
15,Check weather alerts before traveling to crowded trains,[Hindi translation needed: Check weather alerts before traveling to crowded trains],[Kannada translation needed: Check weather alerts before traveling to crowded trains],[Tamil translation needed: Check weather alerts before traveling to crowded trains],[Bengali translation needed: Check weather alerts before traveling to crowded trains],[Assamese translation needed: Check weather alerts before traveling to crowded trains]
16,Use only registered guides in crowded trains,[Hindi translation needed: Use only registered guides in crowded trains],[Kannada translation needed: Use only registered guides in crowded trains],[Tamil translation needed: Use only registered guides in crowded trains],[Bengali translation needed: Use only registered guides in crowded trains],[Assamese translation needed: Use only registered guides in crowded trains]
17,Stay on marked paths while visiting crowded trains,[Hindi translation needed: Stay on marked paths while visiting crowded trains],[Kannada translation needed: Stay on marked paths while visiting crowded trains],[Tamil translation needed: Stay on marked paths while visiting crowded trains],[Bengali translation needed: Stay on marked paths while visiting crowded trains],[Assamese translation needed: Stay on marked paths while visiting crowded trains]
